
FOOD	SIZE	PRICE
Create Your Own Pizza
Cheese (Original Crust)	Mini	$4.99
Cheese (Original or Golden Crust)	Small	$10.99
Cheese (Original, Golden or Thin Crust)	Medium	$12.99
Cheese (Mozza-Loaded Crust)	Medium	$13.49
Cheese (Original, Golden or Thin Crust)	Large	$15.99
Cheese (Mozza-Loaded Crust)	Large	$16.49
Cheese (Original or Thin Crust)	Jumbo	$18.99
Specialty Pizzas
All-Meat Combo Pizza (Original Crust)	Mini	$5.99
All-Meat Combo Pizza (Original or Golden Crust)	Small	$15.99
All-Meat Combo Pizza (Original, Golden or Thin Crust)	Medium	$19.99
All-Meat Combo Pizza (Mozza-Loaded Crust)	Medium	$22.24
All-Meat Combo Pizza (Original, Golden or Thin Crust)	Large	$23.99
All-Meat Combo Pizza (Mozza-Loaded Crust)	Large	$26.23
All-Meat Combo Pizza (Original or Thin Crust)	Jumbo	$27.99
Bacon Cheeseburger Pizza (Original Crust)	Mini	$5.99
Bacon Cheeseburger Pizza (Original or Golden Crust)	Small	$15.99
Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)	Medium	$19.99
Bacon Cheeseburger Pizza (Mozza-Loaded Crust)	Medium	$22.24
Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)	Large	$23.99
Bacon Cheeseburger Pizza (Mozza-Loaded Crust)	Large	$26.23
Bacon Cheeseburger Pizza (Original or Thin Crust)	Jumbo	$27.99
Taco Pie Pizza (Original Crust)	Mini	$5.99
Taco Pie Pizza (Original or Golden Crust)	Small	$15.99
Taco Pie Pizza (Original, Golden or Thin Crust)	Medium	$19.99
Taco Pie Pizza (Mozza-Loaded Crust)	Medium	$22.24
Taco Pie Pizza (Original, Golden or Thin Crust)	Large	$23.99
Taco Pie Pizza (Mozza-Loaded Crust)	Large	$26.23
Taco Pie Pizza (Original or Thin Crust)	Jumbo	$27.99
Classic Combo Pizza (Original Crust)	Mini	$5.99
Classic Combo Pizza (Original or Golden Crust)	Small	$15.99
Classic Combo Pizza (Original, Golden or Thin Crust)	Medium	$19.99
Classic Combo Pizza (Mozza-Loaded Crust)	Medium	$22.24
Classic Combo Pizza (Original, Golden or Thin Crust)	Large	$23.99
Classic Combo Pizza (Mozza-Loaded Crust)	Large	$26.23
Classic Combo Pizza (Original or Thin Crust)	Jumbo	$27.99
Humble Pie Pizza (Original Crust)	Mini	$5.99
Humble Pie Pizza (Original or Golden Crust)	Small	$15.99
Humble Pie Pizza (Original, Golden or Thin Crust)	Medium	$19.99
Humble Pie Pizza (Mozza-Loaded Crust)	Medium	$22.24
Humble Pie Pizza (Original, Golden or Thin Crust)	Large	$23.99
Humble Pie Pizza (Mozza-Loaded Crust)	Large	$26.23
Humble Pie Pizza (Original or Thin Crust)	Jumbo	$27.99
Veggie Pie Pizza (Original Crust)	Mini	$5.99
Veggie Pie Pizza (Original or Golden Crust)	Small	$15.99
Veggie Pie Pizza (Original, Golden or Thin Crust)	Medium	$19.99
Veggie Pie Pizza (Mozza-Loaded Crust)	Medium	$22.24
Veggie Pie Pizza (Original, Golden or Thin Crust)	Large	$23.99
Veggie Pie Pizza (Mozza-Loaded Crust)	Large	$26.23
Veggie Pie Pizza (Original or Thin Crust)	Jumbo	$27.99
Hot Stuff Pizza (Original Crust)	Mini	$5.99
Hot Stuff Pizza (Original or Golden Crust)	Small	$15.99
Hot Stuff Pizza (Original, Golden or Thin Crust)	Medium	$19.99
Hot Stuff Pizza (Mozza-Loaded Crust)	Medium	$22.24
Hot Stuff Pizza (Original, Golden or Thin Crust)	Large	$23.99
Hot Stuff Pizza (Mozza-Loaded Crust)	Large	$26.23
Hot Stuff Pizza (Original or Thin Crust)	Jumbo	$27.99
Hawaiian Pizza (Original Crust)	Mini	$5.99
Hawaiian Pizza (Original or Golden Crust)	Small	$15.99
Hawaiian Pizza (Original, Golden or Thin Crust)	Medium	$19.99
Hawaiian Pizza (Mozza-Loaded Crust)	Medium	$22.24
Hawaiian Pizza (Original, Golden or Thin Crust)	Large	$23.99
Hawaiian Pizza (Mozza-Loaded Crust)	Large	$26.23
Hawaiian Pizza (Original or Thin Crust)	Jumbo	$27.99
BLT Pizza (Original Crust)	Mini	$5.99
BLT Pizza (Original or Golden Crust)	Small	$15.99
BLT Pizza (Original, Golden or Thin Crust)	Medium	$19.99
BLT Pizza (Mozza-Loaded Crust)	Medium	$22.24
BLT Pizza (Original, Golden or Thin Crust)	Large	$23.99
BLT Pizza (Mozza-Loaded Crust)	Large	$26.23
BLT Pizza (Original or Thin Crust)	Jumbo	$27.99
Buffalo Chicken Pizza (Original Crust)	Mini	$5.99
Buffalo Chicken Pizza (Original or Golden Crust)	Small	$15.99
Buffalo Chicken Pizza (Original, Golden or Thin Crust)	Medium	$19.99
Buffalo Chicken Pizza (Mozza-Loaded Crust)	Medium	$22.24
Buffalo Chicken Pizza (Original, Golden or Thin Crust)	Large	$23.99
Buffalo Chicken Pizza (Mozza-Loaded Crust)	Large	$26.23
Buffalo Chicken Pizza (Original or Thin Crust)	Jumbo	$27.99
Super Combo Pizza (Original or Golden Crust)	Small	$16.99
Super Combo Pizza (Original, Golden or Thin Crust)	Medium	$21.99
Super Combo Pizza (Mozza-Loaded Crust)	Medium	$22.49
Super Combo Pizza (Original, Golden or Thin Crust)	Large	$25.99
Super Combo Pizza (Mozza-Loaded Crust)	Large	$26.49
Super Combo Pizza (Original or Thin Crust)	Jumbo	$29.99
Super Hawaiian Pizza (Original or Golden Crust)	Small	$16.99
Super Hawaiian Pizza (Original, Golden or Thin Crust)	Medium	$21.99
Super Hawaiian Pizza (Mozza-Loaded Crust)	Medium	$22.49
